intensity,0.00V,0.01V,0.02V,0.03V,0.04V,0.05V,0.06V,0.07V,0.08V,0.09V,0.10V,0.11V,0.12V,0.13V,0.14V,0.15V,0.16V,0.17V,0.18V,0.19V,0.20V,0.21V,0.22V,0.23V,0.24V,0.25V,0.26V,0.27V,0.28V,0.29V,0.30V,0.31V,0.32V,0.33V,0.34V,0.35V,0.36V,0.37V,0.38V,0.39V,0.40V,0.41V,0.42V,0.43V,0.44V,0.45V,0.46V,0.47V,0.48V,0.49V,0.50V,0.51V,0.52V,0.53V,0.54V,0.55V,0.56V,0.57V,0.58V,0.59V,0.60V,0.61V,0.62V,0.63V,0.64V,0.65V,0.66V,0.67V,0.68V,0.69V,0.70V,0.71V,0.72V,0.73V,0.74V,0.75V,0.76V,0.77V,0.78V,0.79V,0.80V,0.81V,0.82V,0.83V,0.84V,0.85V,0.86V,0.87V,0.88V,0.89V,0.90V,0.91V,0.92V,0.93V,0.94V,0.95V,0.96V,0.97V,0.98V,0.99V
0,1138.1083984375,1210.38671875,1112.8173828125,1232.6396484375,1261.5966796875,1139.4345703125,1186.08984375,1175.5126953125,1300.1669921875,1273.3017578125,1368.2900390625,1431.2255859375,1424.1240234375,1423.0615234375,1492.7802734375,1604.775390625,1569.49609375,1725.029296875,1724.8388671875,1824.30859375,1952.767578125,1976.2490234375,2054.185546875,2113.4697265625,2207.134765625,2275.2080078125,2344.341796875,2340.2998046875,2306.94921875,2464.552734375,2505.5439453125,2443.9560546875,2512.67578125,2605.41015625,2527.345703125,2611.3671875,2696.6669921875,2562.7734375,2655.9794921875,2682.904296875,2658.9560546875,2635.9150390625,2637.9677734375,2693.701171875,2684.16015625,2801.6904296875,2843.6201171875,2843.9501953125,2855.3486328125,2832.556640625,2908.8427734375,2857.544921875,2924.3583984375,2921.33984375,2865.041015625,3000.5654296875,2986.9248046875,2982.19921875,3025.6611328125,3023.7080078125,3019.0361328125,3017.8251953125,3045.8525390625,3160.1826171875,3227.375,3238.4833984375,3172.92578125,3193.65234375,3377.5791015625,3276.375,3342.919921875,3364.2783203125,3379.09765625,3494.75,3524.3212890625,3620.4794921875,3685.5537109375,3723.42578125,3796.6865234375,3838.3583984375,3952.8251953125,3846.5087890625,3948.8369140625,4110.322265625,4078.92578125,4191.8583984375,4336.697265625,4447.328125,4409.11328125,4587.7109375,4609.5791015625,4672.2548828125,4789.8134765625,4902.31640625,5051.8974609375,5075.3623046875,5249.611328125,5405.3388671875,5391.6162109375,5624.15625
10,1222.6083984375,1139.658203125,1193.25,1234.1728515625,1225.44921875,1228.73828125,1209.7001953125,1278.3740234375,1349.591796875,1323.3896484375,1371.4267578125,1473.404296875,1520.021484375,1506.82421875,1555.7587890625,1700.44140625,1720.6865234375,1738.92578125,1833.81640625,1884.0419921875,2028.2177734375,2073.0185546875,2208.3984375,2194.7548828125,2275.2705078125,2396.7412109375,2428.796875,2415.2158203125,2438.1064453125,2550.53515625,2573.189453125,2595.455078125,2672.837890625,2679.876953125,2634.1552734375,2656.92578125,2717.302734375,2723.0888671875,2695.9482421875,2799.90234375,2747.560546875,2759.16015625,2777.28515625,2848.267578125,2780.2197265625,2933.2900390625,2895.505859375,2861.4580078125,2961.3408203125,2947.6015625,2872.474609375,2971.353515625,3046.5791015625,2966.876953125,2959.216796875,3083.0791015625,3117.8984375,3008.3828125,3074.3115234375,3079.6220703125,3128.4140625,3119.140625,3183.158203125,3166.78125,3293.826171875,3333.92578125,3258.0693359375,3294.7080078125,3459.9775390625,3517.375,3504.634765625,3593.2998046875,3474.2705078125,3552.8935546875,3719.7109375,3614.982421875,3795.67578125,3866.2939453125,3927.2373046875,3841.67578125,4004.755859375,4084.9111328125,4010.0478515625,4242.349609375,4319.6396484375,4443.890625,4317.4873046875,4533.0859375,4549.9892578125,4666.14453125,4771.0126953125,4728.240234375,4898.5234375,5062.96484375,5018.0908203125,5166.3251953125,5392.17578125,5386.7607421875,5521.9287109375,5779.7001953125
20,1238.4384765625,1317.939453125,1189.806640625,1280.4306640625,1304.109375,1340.71484375,1441.09765625,1270.53515625,1475.490234375,1473.4638671875,1400.8505859375,1461.1337890625,1602.7666015625,1528.642578125,1745.767578125,1793.6640625,1788.248046875,1833.5126953125,1885.1708984375,2085.0166015625,2037.357421875,2164.7734375,2286.7607421875,2304.560546875,2474.6083984375,2545.6181640625,2509.6689453125,2648.6025390625,2543.275390625,2635.28515625,2767.904296875,2774.8935546875,2769.0546875,2846.31640625,2822.4970703125,2763.4208984375,2856.53515625,2832.14453125,2834.744140625,2840.0419921875,2918.62890625,2873.2578125,2971.2333984375,3063.14453125,2938.263671875,3023.2529296875,2998.068359375,3005.919921875,3066.2744140625,3162.1142578125,3043.828125,3201.22265625,3214.0791015625,3150.443359375,3249.0556640625,3250.4287109375,3162.0361328125,3198.72265625,3322.6904296875,3237.78515625,3319.4619140625,3328.734375,3319.841796875,3355.9736328125,3507.685546875,3416.1328125,3435.9619140625,3470.2568359375,3594.96875,3659.068359375,3722.759765625,3629.1591796875,3708.8994140625,3845.8212890625,3781.3740234375,3809.2109375,3851.12109375,4088.2744140625,3993.4931640625,4128.087890625,4160.4453125,4138.4638671875,4260.892578125,4402.412109375,4422.71875,4501.140625,4614.8125,4719.552734375,4770.8388671875,4892.2099609375,4887.1142578125,4931.2265625,5136.2880859375,5241.4521484375,5187.607421875,5379.0693359375,5395.3876953125,5520.310546875,5673.677734375,5848.5478515625
30,1401.47265625,1238.548828125,1353.6748046875,1376.423828125,1261.6875,1407.4931640625,1481.814453125,1509.697265625,1348.7080078125,1432.2470703125,1462.1015625,1677.646484375,1672.08203125,1792.130859375,1717.087890625,1986.1220703125,2053.5244140625,1905.8388671875,2049.962890625,2050.2880859375,2180.9755859375,2498.375,2541.2529296875,2410.5390625,2622.7421875,2760.5751953125,2756.720703125,2694.6044921875,2871.2841796875,2750.693359375,2815.662109375,3050.88671875,2874.0537109375,3026.662109375,3124.0390625,3140.7880859375,3080.681640625,3124.109375,3226.2509765625,3060.462890625,3143.8681640625,3227.58984375,3258.0,3252.2998046875,3314.3369140625,3282.216796875,3178.8232421875,3171.720703125,3218.9765625,3320.1083984375,3257.8671875,3297.9248046875,3337.98046875,3465.2978515625,3357.095703125,3470.9404296875,3434.060546875,3537.6689453125,3458.51953125,3472.8701171875,3536.4287109375,3564.8759765625,3675.6474609375,3615.63671875,3642.9072265625,3675.0712890625,3678.7197265625,3722.544921875,3834.47265625,3880.224609375,3832.732421875,3907.541015625,3929.4560546875,4040.11328125,4016.8525390625,4055.865234375,4157.4677734375,4232.2705078125,4226.8603515625,4312.162109375,4355.31640625,4463.68359375,4507.9052734375,4570.626953125,4607.4541015625,4716.9423828125,4811.130859375,4898.01171875,4936.33984375,5041.2138671875,5098.783203125,5214.576171875,5320.59765625,5375.2734375,5506.576171875,5551.59765625,5678.833984375,5813.69140625,5929.2060546875,6006.47265625
40,1391.7880859375,1367.08984375,1335.87890625,1362.59765625,1420.1416015625,1421.3310546875,1454.8193359375,1495.8046875,1513.123046875,1655.2041015625,1630.814453125,1664.3251953125,1748.3798828125,1810.5029296875,1960.3486328125,2038.1064453125,2051.169921875,2128.2138671875,2268.3154296875,2344.751953125,2500.5849609375,2578.6826171875,2637.609375,2741.5029296875,2743.5947265625,2815.55859375,2871.279296875,2987.646484375,3062.931640625,2984.919921875,3051.8037109375,3199.4052734375,3113.8916015625,3230.642578125,3222.845703125,3281.5048828125,3240.8759765625,3384.234375,3251.185546875,3407.142578125,3314.5712890625,3366.9599609375,3469.7900390625,3502.40625,3558.3076171875,3454.9765625,3407.9345703125,3487.3076171875,3453.7607421875,3572.3037109375,3592.37109375,3682.748046875,3649.9755859375,3789.984375,3548.0693359375,3662.498046875,3722.6328125,3901.1064453125,3831.9619140625,3921.2900390625,3847.2783203125,3754.51953125,3775.3798828125,3994.716796875,4012.966796875,3972.4755859375,4098.8251953125,3893.283203125,3939.8056640625,4025.9453125,4088.7587890625,4177.841796875,4170.0771484375,4365.412109375,4278.09765625,4416.7060546875,4476.8291015625,4290.0205078125,4567.21875,4596.251953125,4565.6435546875,4513.3212890625,4571.6044921875,4686.6787109375,4809.2236328125,4836.4541015625,4917.943359375,5092.208984375,5316.0029296875,5276.9609375,5291.2138671875,5493.8046875,5418.126953125,5616.1455078125,5828.8271484375,5938.4287109375,5959.0224609375,5929.5205078125,5979.287109375,6182.982421875
50,1380.6982421875,1389.8896484375,1451.06640625,1435.169921875,1540.3564453125,1457.568359375,1637.880859375,1559.240234375,1683.2861328125,1740.4794921875,1773.36328125,1831.59375,1957.9970703125,2036.4951171875,2131.1396484375,2223.6171875,2289.9736328125,2315.869140625,2468.0048828125,2475.7763671875,2673.115234375,2694.12890625,2824.50390625,2853.9599609375,3029.8955078125,3043.314453125,3124.35546875,3323.94140625,3325.1923828125,3383.9951171875,3372.0869140625,3391.87109375,3381.3603515625,3520.7607421875,3537.9580078125,3457.345703125,3550.365234375,3650.15234375,3597.0556640625,3580.7041015625,3677.373046875,3742.9482421875,3767.2685546875,3783.7763671875,3686.564453125,3799.8564453125,3856.478515625,3814.4931640625,3823.2568359375,3885.7421875,3812.203125,3851.69921875,3952.5263671875,3929.2158203125,3929.310546875,3979.2392578125,4057.349609375,4055.572265625,4082.953125,4154.0615234375,4096.3935546875,4125.21875,4133.9716796875,4280.66796875,4270.0712890625,4323.34765625,4374.447265625,4350.2001953125,4391.2275390625,4394.9384765625,4452.0087890625,4498.7392578125,4583.2890625,4617.208984375,4602.1474609375,4667.1357421875,4848.390625,4780.28125,4914.748046875,4866.615234375,4964.5498046875,4977.8935546875,5052.19140625,5086.2138671875,5318.5283203125,5319.1796875,5322.8828125,5420.765625,5523.392578125,5549.0615234375,5710.98828125,5758.7109375,5831.0751953125,5977.521484375,5994.0703125,6178.4306640625,6259.6533203125,6422.9140625,6412.765625,6529.3798828125
60,1579.7314453125,1468.10546875,1502.482421875,1551.7080078125,1588.767578125,1533.720703125,1732.80859375,1632.6337890625,1678.6318359375,1831.05078125,1982.8564453125,2132.6904296875,1994.453125,2056.69140625,2132.75,2368.46875,2543.837890625,2654.3759765625,2468.5419921875,2711.923828125,2712.513671875,2975.228515625,3167.830078125,3120.404296875,3213.77734375,3448.193359375,3381.1787109375,3310.5625,3585.828125,3728.2666015625,3675.60546875,3592.80078125,3909.908203125,3708.7080078125,3713.38671875,4003.1904296875,4070.22265625,3746.0888671875,3859.7177734375,4103.498046875,3925.2880859375,4021.595703125,4211.2451171875,3928.96875,3898.951171875,3929.2138671875,4306.6318359375,4278.181640625,4099.8779296875,4067.0185546875,4340.1015625,4070.1279296875,4449.8857421875,4406.126953125,4181.0146484375,4224.404296875,4537.287109375,4569.62109375,4509.0693359375,4635.3642578125,4709.6982421875,4303.490234375,4595.701171875,4598.201171875,4442.0751953125,4751.1962890625,4836.580078125,4923.7314453125,4803.921875,4981.2255859375,4959.3935546875,4689.419921875,5090.3154296875,5127.9697265625,4867.29296875,5257.5693359375,4943.337890625,5300.4150390625,5143.5947265625,5427.3154296875,5364.3896484375,5167.4794921875,5533.427734375,5641.2568359375,5763.1552734375,5795.583984375,5556.47265625,5978.40234375,5797.513671875,6191.29296875,5908.09375,5980.0625,6282.5107421875,6079.767578125,6212.58984375,6365.060546875,6667.755859375,6491.2060546875,6899.27734375,7063.8330078125
70,1746.955078125,1724.259765625,1661.8017578125,1640.970703125,1642.5205078125,1783.5322265625,1755.4833984375,1858.6689453125,1914.794921875,1887.6220703125,2078.119140625,2087.771484375,2151.8359375,2211.8125,2413.4970703125,2530.1357421875,2588.7939453125,2732.9443359375,2791.65625,3153.27734375,3178.3095703125,3216.0576171875,3482.7060546875,3669.3916015625,3689.7373046875,3699.2490234375,3684.6181640625,3780.6806640625,3810.810546875,4066.03515625,3960.4267578125,3997.5986328125,4095.5419921875,4152.5498046875,4275.9501953125,4312.6767578125,4195.5283203125,4315.2744140625,4404.509765625,4379.4951171875,4346.0615234375,4457.8330078125,4407.4599609375,4404.17578125,4479.6748046875,4462.525390625,4595.12890625,4590.6328125,4582.736328125,4624.5458984375,4686.490234375,4654.2890625,4749.79296875,4708.267578125,4715.5693359375,4679.390625,4793.8701171875,4791.5986328125,4888.0537109375,4935.287109375,4989.3740234375,5123.595703125,5157.89453125,5031.2041015625,4983.298828125,5184.587890625,5051.912109375,5118.8408203125,5250.8271484375,5165.25,5207.2216796875,5387.771484375,5405.5751953125,5354.8330078125,5405.5888671875,5580.4892578125,5396.2841796875,5706.5849609375,5683.748046875,5573.5517578125,5961.7275390625,5929.208984375,5769.1376953125,5815.6337890625,6064.0849609375,5935.974609375,6056.453125,6386.41015625,6347.279296875,6636.5625,6692.4052734375,6455.43359375,6551.7099609375,6868.3876953125,6771.3212890625,6922.109375,7034.2822265625,6976.6328125,7152.419921875,7301.8037109375
80,1944.412109375,1776.7470703125,1754.005859375,1858.939453125,1824.4423828125,1853.720703125,1929.8740234375,2012.9501953125,2058.3017578125,2172.88671875,2203.263671875,2379.87890625,2386.7587890625,2386.58984375,2580.115234375,2813.5029296875,2882.080078125,3037.3115234375,3206.978515625,3363.8671875,3340.7421875,3591.875,3811.9208984375,3758.154296875,3999.80859375,4132.7431640625,4294.10546875,4376.7314453125,4486.162109375,4579.2021484375,4538.6337890625,4603.990234375,4693.63671875,4682.953125,4657.037109375,4897.0537109375,4574.83984375,4785.9697265625,5006.0615234375,4838.12890625,4978.8251953125,4864.0634765625,5110.5244140625,4703.17578125,5165.7626953125,4988.4697265625,4920.4716796875,4917.130859375,5099.7001953125,4865.3564453125,4865.1943359375,5122.84375,5110.6044921875,5342.1630859375,5037.4638671875,5440.9228515625,5306.451171875,5382.828125,5131.353515625,5523.5341796875,5557.1552734375,5242.0771484375,5563.8994140625,5769.03125,5437.615234375,5593.3486328125,5386.94921875,5596.4150390625,5885.44921875,5486.927734375,5738.3193359375,5772.3994140625,5704.455078125,5883.4775390625,5948.8466796875,6174.3017578125,5985.4111328125,6074.93359375,5936.3388671875,6392.8828125,6420.943359375,6439.83203125,6296.501953125,6601.8193359375,6559.201171875,6606.5693359375,6413.7431640625,6742.302734375,6990.380859375,7083.29296875,7177.857421875,7215.2294921875,7371.5654296875,7328.8369140625,7181.537109375,7391.53515625,7651.19921875,7816.6044921875,7682.9921875,7998.302734375
90,1854.259765625,1903.2099609375,1895.884765625,1943.71875,2001.0576171875,2022.900390625,2077.0478515625,2109.6455078125,2173.7900390625,2235.8076171875,2424.1875,2398.2255859375,2591.5185546875,2691.849609375,2862.9306640625,2939.5859375,3165.552734375,3122.0546875,3311.212890625,3623.685546875,3620.197265625,3741.6171875,4097.490234375,3992.7978515625,4271.001953125,4275.556640625,4501.4296875,4709.419921875,4769.134765625,4929.7138671875,4770.7255859375,5079.8486328125,5119.474609375,5175.5146484375,5268.814453125,4886.455078125,4943.1181640625,5124.01953125,5111.6787109375,5326.294921875,5122.140625,5443.005859375,5087.708984375,5181.935546875,5299.0634765625,5326.9384765625,5683.3203125,5537.814453125,5395.974609375,5353.189453125,5314.751953125,5671.3994140625,5584.923828125,5463.0205078125,5798.0810546875,5914.2919921875,5699.3125,5824.8818359375,5476.25390625,5818.3955078125,5548.90625,5663.9873046875,6065.8291015625,6177.693359375,5752.38671875,5995.9375,6240.0361328125,5889.525390625,6378.2216796875,6187.5849609375,6084.23046875,6202.4287109375,6056.052734375,6114.7685546875,6187.8681640625,6676.1748046875,6302.06640625,6764.7705078125,6561.7802734375,6975.505859375,6572.521484375,6740.5986328125,7103.5478515625,6756.302734375,7230.98828125,6866.046875,7244.4462890625,7390.078125,7165.9326171875,7080.0439453125,7406.4521484375,7537.939453125,7595.677734375,7890.7607421875,8100.39453125,8100.8779296875,8190.7802734375,8347.9814453125,8163.2734375,8612.5810546875
