intensity,0.00V,0.01V,0.02V,0.03V,0.04V,0.05V,0.06V,0.07V,0.08V,0.09V,0.10V,0.11V,0.12V,0.13V,0.14V,0.15V,0.16V,0.17V,0.18V,0.19V,0.20V,0.21V,0.22V,0.23V,0.24V,0.25V,0.26V,0.27V,0.28V,0.29V,0.30V,0.31V,0.32V,0.33V,0.34V,0.35V,0.36V,0.37V,0.38V,0.39V,0.40V,0.41V,0.42V,0.43V,0.44V,0.45V,0.46V,0.47V,0.48V,0.49V,0.50V,0.51V,0.52V,0.53V,0.54V,0.55V,0.56V,0.57V,0.58V,0.59V,0.60V,0.61V,0.62V,0.63V,0.64V,0.65V,0.66V,0.67V,0.68V,0.69V,0.70V,0.71V,0.72V,0.73V,0.74V,0.75V,0.76V,0.77V,0.78V,0.79V,0.80V,0.81V,0.82V,0.83V,0.84V,0.85V,0.86V,0.87V,0.88V,0.89V,0.90V,0.91V,0.92V,0.93V,0.94V,0.95V,0.96V,0.97V,0.98V,0.99V
0,1449.1455078125,1497.333984375,1333.955078125,1263.7353515625,1378.1220703125,1313.3544921875,1349.767578125,1589.3583984375,1398.7919921875,1552.3583984375,1766.9443359375,1771.53125,1763.337890625,1954.55078125,1836.7646484375,1969.8935546875,1964.1943359375,2269.4873046875,2145.9794921875,2170.6064453125,2562.232421875,2509.361328125,2730.0830078125,2751.884765625,2832.5712890625,2731.9375,2998.98828125,2792.28515625,2862.0380859375,3041.9912109375,3144.3701171875,2970.603515625,3180.1650390625,3276.43359375,3193.8623046875,3276.994140625,3150.84765625,3244.537109375,3154.259765625,3434.314453125,3217.8662109375,3372.4033203125,3562.0947265625,3280.5126953125,3384.9853515625,3388.0517578125,3404.4375,3516.5712890625,3605.9150390625,3642.81640625,3497.970703125,3501.0908203125,3618.8408203125,3664.4326171875,3542.2001953125,3597.8779296875,3596.685546875,3622.2001953125,3732.9951171875,3848.25,3809.2646484375,3705.201171875,3831.328125,3927.5888671875,3978.9130859375,3916.4404296875,4017.203125,3996.072265625,3991.04296875,4152.0517578125,4147.572265625,4149.83984375,4150.5576171875,4290.203125,4286.4833984375,4280.1328125,4348.1279296875,4467.8310546875,4481.8369140625,4560.5625,4573.6494140625,4651.2958984375,4708.33203125,4759.294921875,4923.10546875,4918.375,5010.4658203125,5113.0712890625,5150.259765625,5241.052734375,5320.3720703125,5412.5732421875,5489.5888671875,5620.583984375,5686.271484375,5809.998046875,5881.1611328125,5992.2919921875,6131.2861328125,6274.556640625
10,1462.9951171875,1305.7841796875,1499.4443359375,1495.1083984375,1404.6689453125,1593.7685546875,1602.08984375,1457.9541015625,1630.556640625,1714.37109375,1603.6953125,1669.0263671875,1918.798828125,1979.658203125,1926.3154296875,2150.189453125,2298.5234375,2234.470703125,2485.7666015625,2413.826171875,2711.060546875,2555.865234375,2806.869140625,2713.8310546875,2991.291015625,3140.7626953125,2945.2353515625,3220.1201171875,3272.2353515625,3157.3525390625,3210.455078125,3387.619140625,3473.53125,3301.892578125,3546.82421875,3560.6884765625,3519.169921875,3609.5849609375,3355.1337890625,3614.8623046875,3631.1787109375,3722.4482421875,3629.30859375,3442.830078125,3758.8505859375,3836.44140625,3544.7265625,3725.5068359375,3897.5185546875,3768.478515625,3786.0859375,3939.5556640625,3768.7802734375,3634.9091796875,3876.7099609375,4022.564453125,3740.2314453125,4046.654296875,3975.951171875,3912.7587890625,4194.0791015625,4039.3349609375,3916.392578125,4047.291015625,4306.21875,4074.580078125,4328.9599609375,4385.35546875,4143.6376953125,4316.8427734375,4211.783203125,4256.5888671875,4526.333984375,4591.0810546875,4557.8388671875,4682.71484375,4773.462890625,4529.484375,4832.5595703125,4618.5283203125,4997.703125,5141.9287109375,4877.7177734375,5086.5029296875,5134.84765625,5031.9482421875,5312.0849609375,5245.55859375,5661.26171875,5396.2587890625,5735.1064453125,5654.7666015625,5897.9912109375,5853.6923828125,6089.3984375,5924.49609375,6291.97265625,6423.5703125,6385.3173828125,6368.33984375
20,1379.7119140625,1491.443359375,1393.666015625,1612.0322265625,1547.6337890625,1445.70703125,1729.630859375,1682.482421875,1587.021484375,1830.3349609375,1682.4658203125,1908.189453125,1844.44921875,1957.826171875,2161.794921875,2210.8671875,2486.7685546875,2529.1455078125,2623.0810546875,2816.6025390625,2845.2021484375,3057.984375,2918.7138671875,3198.203125,3379.1318359375,3188.2880859375,3386.9287109375,3427.4609375,3309.595703125,3428.34375,3577.2431640625,3642.90625,3506.6357421875,3803.14453125,3638.849609375,3882.4169921875,3900.6181640625,3723.140625,3626.298828125,3931.677734375,3678.2197265625,4027.7001953125,3768.4443359375,3806.8212890625,3980.8837890625,3953.64453125,4152.1728515625,3981.130859375,3855.8232421875,4225.431640625,4150.04296875,4026.1767578125,4349.177734375,3991.412109375,4169.3935546875,4161.009765625,4089.8193359375,4110.07421875,4196.103515625,4067.7685546875,4418.7822265625,4558.3447265625,4398.5546875,4437.7080078125,4328.2333984375,4338.4404296875,4391.392578125,4767.111328125,4919.02734375,4661.146484375,4885.638671875,4650.2421875,4685.9912109375,5013.9462890625,5027.47265625,4857.779296875,5152.0400390625,4925.669921875,4971.7744140625,5202.234375,5125.419921875,5066.7802734375,5325.2080078125,5483.7314453125,5429.177734375,5359.88671875,5698.751953125,5842.2119140625,5727.6953125,5870.23046875,5798.6005859375,5944.37890625,6203.0263671875,6235.1455078125,6269.197265625,6429.1796875,6352.6845703125,6586.0185546875,6609.3408203125,6742.849609375
30,1562.681640625,1688.7470703125,1630.462890625,1645.8642578125,1678.6728515625,1680.2333984375,1774.8134765625,1802.634765625,1851.509765625,1895.9443359375,1964.400390625,2062.865234375,2135.7734375,2227.787109375,2346.3759765625,2558.4345703125,2577.9560546875,2646.32421875,2789.0751953125,2892.6123046875,3013.5693359375,3187.4453125,3285.8935546875,3337.154296875,3513.7353515625,3591.5322265625,3670.5859375,3663.35546875,3727.4130859375,3807.2060546875,3869.1904296875,3882.900390625,3960.6904296875,4011.595703125,3968.6435546875,4220.8232421875,4180.4501953125,4219.4921875,4136.3623046875,4131.787109375,4122.4736328125,4312.09375,4281.9267578125,4310.8662109375,4262.5986328125,4456.767578125,4373.517578125,4353.08203125,4359.6630859375,4388.9482421875,4573.2412109375,4521.2783203125,4558.4150390625,4455.4736328125,4592.8466796875,4659.701171875,4567.349609375,4551.8779296875,4653.6318359375,4748.4052734375,4672.3310546875,4841.634765625,4783.5439453125,4978.337890625,4871.6328125,4991.5087890625,4884.95703125,5006.4072265625,5063.8603515625,5014.4150390625,5061.6142578125,5213.9853515625,5194.3974609375,5146.4609375,5186.740234375,5441.58203125,5418.322265625,5323.337890625,5556.5810546875,5442.3095703125,5677.2587890625,5700.3857421875,5597.087890625,5877.8525390625,5883.2421875,6072.1201171875,5856.251953125,6134.728515625,6164.6083984375,6161.2646484375,6378.236328125,6300.9013671875,6594.9560546875,6465.087890625,6705.65625,6859.8974609375,6811.2509765625,6993.123046875,7080.1279296875,7300.396484375
40,1691.302734375,1716.3818359375,1719.5791015625,1760.8271484375,1788.923828125,1837.044921875,1881.283203125,1930.8828125,1966.5390625,2042.83203125,2116.5439453125,2180.2021484375,2212.845703125,2427.828125,2592.625,2656.919921875,2707.310546875,2951.2451171875,3137.5673828125,3217.8193359375,3398.59765625,3493.4541015625,3540.3955078125,3672.1357421875,3800.2392578125,3915.0791015625,3939.408203125,4112.33203125,4257.333984375,4039.3466796875,4218.0595703125,4478.916015625,4123.2626953125,4456.1689453125,4575.2509765625,4305.00390625,4368.2275390625,4559.7412109375,4666.2392578125,4383.4892578125,4662.33203125,4674.7021484375,4858.1015625,4787.4794921875,4517.3837890625,4851.728515625,4703.76953125,4878.2451171875,4954.78515625,4644.2412109375,4767.3896484375,4659.1142578125,4901.4384765625,5102.177734375,5008.6123046875,4955.955078125,4801.43359375,5241.46875,4946.6015625,5033.001953125,4915.1796875,5173.2177734375,5435.107421875,5338.146484375,5407.4892578125,5300.3544921875,5508.8876953125,5573.763671875,5362.3134765625,5377.8818359375,5277.1083984375,5518.0205078125,5652.294921875,5667.9716796875,5486.7509765625,5786.3642578125,5678.24609375,5941.2314453125,5824.1875,5885.6474609375,6224.591796875,6232.1455078125,5852.392578125,6186.8193359375,6458.873046875,6220.623046875,6203.5419921875,6435.0029296875,6500.4208984375,6731.3876953125,6892.490234375,6951.423828125,6880.154296875,7193.0986328125,7113.7587890625,6929.533203125,7274.736328125,7698.81640625,7489.771484375,7794.4306640625
50,1796.361328125,1878.2822265625,1804.072265625,1793.44921875,2079.80859375,1907.701171875,2094.197265625,2209.9287109375,2150.96875,2129.9794921875,2296.609375,2315.43359375,2483.607421875,2691.41796875,2626.3798828125,2997.986328125,2882.720703125,3245.7705078125,3281.0927734375,3329.751953125,3659.91796875,3717.1923828125,3849.1298828125,3955.044921875,3974.4208984375,4393.3291015625,4363.4072265625,4299.859375,4628.3994140625,4617.951171875,4665.4365234375,4838.2197265625,4890.9599609375,4924.6669921875,5062.0908203125,4834.6083984375,4870.12890625,5089.27734375,5098.3037109375,4944.046875,5218.890625,5035.4482421875,5019.94921875,5246.86328125,5087.4912109375,5141.4189453125,5150.4716796875,5301.0087890625,5313.0654296875,5354.482421875,5483.1884765625,5406.6533203125,5308.2216796875,5464.7705078125,5529.6708984375,5457.04296875,5564.0400390625,5431.6630859375,5497.29296875,5675.6435546875,5696.7333984375,5585.2783203125,5706.69140625,5681.6005859375,5899.4140625,5847.2509765625,5928.322265625,6020.1240234375,5883.4677734375,6049.224609375,6020.7900390625,6198.56640625,6187.0166015625,6152.912109375,6287.7041015625,6162.51953125,6315.056640625,6237.08984375,6287.1357421875,6549.0400390625,6564.974609375,6623.232421875,6690.029296875,6720.8330078125,6923.9619140625,6791.0205078125,6843.0517578125,7027.220703125,7053.4287109375,7175.595703125,7260.6494140625,7276.599609375,7416.658203125,7575.693359375,7459.6337890625,7706.287109375,7667.15625,7986.5322265625,7928.7158203125,8208.5234375
60,2164.0400390625,2001.5283203125,1976.4697265625,1909.001953125,2079.0537109375,2216.134765625,2032.548828125,2279.0986328125,2226.9765625,2363.8603515625,2417.2548828125,2608.484375,2572.5400390625,2812.14453125,3031.4052734375,3035.6669921875,3204.623046875,3547.7685546875,3464.037109375,3604.55859375,3924.4609375,4105.7578125,4315.0390625,4374.3388671875,4392.2646484375,4705.609375,4626.06640625,4951.2841796875,5029.4189453125,5073.2001953125,4937.8046875,5107.4140625,5171.4755859375,5255.587890625,5405.5263671875,5493.060546875,5407.1748046875,5447.556640625,5372.2490234375,5631.4462890625,5536.2177734375,5570.2900390625,5785.5419921875,5712.6201171875,5788.0458984375,5834.5693359375,5923.498046875,5882.775390625,5915.568359375,5726.8046875,5965.849609375,5776.4677734375,5793.2890625,5827.884765625,5899.0537109375,6132.2578125,5854.017578125,6226.1796875,5899.1201171875,6034.548828125,6240.4609375,6116.39453125,6047.5966796875,6345.7060546875,6410.1064453125,6117.505859375,6415.03515625,6457.375,6250.259765625,6589.8212890625,6705.107421875,6564.841796875,6738.8662109375,6410.1572265625,6738.8671875,6822.62890625,6887.8662109375,6772.04296875,7077.8447265625,6844.4462890625,6887.4443359375,7252.689453125,6908.64453125,6902.1650390625,7077.810546875,7247.8203125,7606.392578125,7263.6455078125,7575.1416015625,7683.255859375,7574.69921875,8083.5703125,7683.5771484375,7658.1494140625,8341.13671875,8421.90625,8021.2529296875,8662.8544921875,8755.2236328125,8285.53125
70,2217.150390625,2020.5078125,2220.9541015625,2129.3701171875,2322.8076171875,2150.6611328125,2345.4208984375,2556.53515625,2376.4990234375,2548.6904296875,2826.609375,2690.193359375,2939.8115234375,3058.1982421875,3279.9423828125,3173.9892578125,3422.7607421875,3608.8251953125,3903.4375,3925.2041015625,4046.4970703125,4556.6826171875,4439.90625,4778.1982421875,4742.6181640625,5121.830078125,5408.658203125,5162.9580078125,5566.7490234375,5636.3544921875,5459.1240234375,5827.466796875,6017.3154296875,5758.5048828125,5756.1630859375,5946.4990234375,5911.44921875,6141.271484375,6329.1669921875,6184.2705078125,6176.1845703125,6419.294921875,6354.7431640625,6170.154296875,6445.8662109375,6607.2138671875,6399.3701171875,6553.8388671875,3349.3369140625,3350.939453125,6624.0634765625,6590.791015625,6484.8115234375,6377.56640625,6571.9609375,6421.712890625,6609.158203125,6662.765625,6704.3017578125,6495.88671875,6667.32421875,6588.998046875,6919.9326171875,6934.078125,6796.21875,6967.9892578125,6715.38671875,7091.3740234375,6943.65625,7111.890625,7054.423828125,7015.423828125,7276.8515625,7278.2275390625,7193.4814453125,7192.982421875,7486.4765625,7219.212890625,7529.693359375,7567.9443359375,7848.873046875,7537.5751953125,7770.560546875,7953.7529296875,7738.146484375,8130.5068359375,8150.541015625,8385.2470703125,8117.970703125,8217.4580078125,8418.16796875,8583.1923828125,8398.26171875,8483.2275390625,8818.6123046875,8627.501953125,9127.8291015625,8855.0263671875,8964.7607421875,9315.46484375
80,2329.8720703125,2369.494140625,2369.52734375,2452.2080078125,2504.75,2398.310546875,2529.1494140625,2649.3720703125,2762.044921875,2840.0615234375,2951.6572265625,2947.6904296875,3266.0283203125,3233.2646484375,3420.5791015625,3719.642578125,3762.4921875,3920.8623046875,4480.9482421875,4435.6044921875,4466.548828125,4915.6904296875,4998.6748046875,4973.9755859375,5106.6943359375,5511.5537109375,5467.90625,5991.8486328125,5827.0,6057.1982421875,6088.9677734375,6164.123046875,6640.9658203125,6615.0654296875,6474.716796875,6946.5625,6596.7236328125,7205.8193359375,7209.857421875,6667.9091796875,7259.29296875,7320.9599609375,7523.140625,7056.689453125,7280.9541015625,7545.416015625,7179.423828125,7098.4365234375,7658.5234375,7075.2880859375,7550.1484375,7404.046875,7065.1689453125,7586.8515625,7368.4462890625,7175.056640625,7511.802734375,7700.201171875,7225.25390625,7610.9287109375,7994.2529296875,7400.1044921875,7264.75,7985.7900390625,7628.46875,7687.6396484375,7877.111328125,7472.57421875,7848.681640625,8053.6357421875,8013.568359375,7789.044921875,8455.0126953125,7924.787109375,8003.3818359375,8397.716796875,8549.01171875,8675.0439453125,8376.107421875,8691.33984375,8094.2373046875,8378.0302734375,8831.31640625,9023.2724609375,8550.4501953125,8491.69140625,9239.3603515625,8659.625,9152.03515625,9025.8125,9502.73046875,8865.400390625,9725.470703125,9730.7548828125,9775.609375,9252.220703125,9993.5009765625,10004.1962890625,9827.0224609375,10359.2666015625
90,2426.365234375,2673.501953125,2599.2490234375,2591.095703125,2683.3779296875,2639.759765625,2666.6142578125,2860.44921875,2928.7890625,2876.0732421875,3173.9765625,3247.091796875,3505.4619140625,3555.82421875,3767.263671875,3817.927734375,4021.19140625,4332.5615234375,4414.9462890625,4643.111328125,4882.87109375,5092.3935546875,5463.7431640625,5447.107421875,5604.9794921875,5829.7783203125,6092.6923828125,6109.091796875,6496.865234375,6564.1826171875,6907.12890625,6954.333984375,7175.759765625,6849.9248046875,7199.392578125,7570.5478515625,7420.1396484375,7393.0927734375,7506.72265625,7545.4814453125,7816.9189453125,7672.79296875,8123.765625,7729.072265625,8233.7607421875,8056.0283203125,8026.1494140625,7758.1123046875,8394.8037109375,7836.8251953125,8524.6796875,8506.681640625,7863.7236328125,8391.6513671875,8610.5478515625,7905.01171875,8327.431640625,8156.3759765625,7965.041015625,8485.20703125,8304.744140625,8148.1171875,8138.861328125,8493.5625,8146.1796875,8944.7724609375,8793.4658203125,8214.94921875,8386.802734375,8909.5771484375,8988.7568359375,8435.9169921875,9170.5185546875,8579.939453125,9326.7568359375,9021.9853515625,9426.5849609375,9085.0888671875,9351.44140625,9571.3447265625,9202.2958984375,9665.1953125,9692.029296875,9040.6708984375,9293.876953125,9647.892578125,9943.6591796875,9377.693359375,9550.1611328125,9474.5478515625,9857.9052734375,10621.0693359375,10127.8505859375,10041.8759765625,10661.72265625,10637.8759765625,10366.419921875,10398.7041015625,10794.1611328125,10504.126953125
