intensity,0.00V,0.01V,0.02V,0.03V,0.04V,0.05V,0.06V,0.07V,0.08V,0.09V,0.10V,0.11V,0.12V,0.13V,0.14V,0.15V,0.16V,0.17V,0.18V,0.19V,0.20V,0.21V,0.22V,0.23V,0.24V,0.25V,0.26V,0.27V,0.28V,0.29V,0.30V,0.31V,0.32V,0.33V,0.34V,0.35V,0.36V,0.37V,0.38V,0.39V,0.40V,0.41V,0.42V,0.43V,0.44V,0.45V,0.46V,0.47V,0.48V,0.49V,0.50V,0.51V,0.52V,0.53V,0.54V,0.55V,0.56V,0.57V,0.58V,0.59V,0.60V,0.61V,0.62V,0.63V,0.64V,0.65V,0.66V,0.67V,0.68V,0.69V,0.70V,0.71V,0.72V,0.73V,0.74V,0.75V,0.76V,0.77V,0.78V,0.79V,0.80V,0.81V,0.82V,0.83V,0.84V,0.85V,0.86V,0.87V,0.88V,0.89V,0.90V,0.91V,0.92V,0.93V,0.94V,0.95V,0.96V,0.97V,0.98V,0.99V
0,1088.291015625,1031.51953125,1035.2138671875,1106.40625,1073.6455078125,1224.3642578125,1219.4033203125,1126.7666015625,1259.205078125,1212.4697265625,1319.4970703125,1313.9736328125,1437.7431640625,1477.3349609375,1421.888671875,1571.5576171875,1677.3330078125,1622.9521484375,1815.28125,1844.056640625,1824.6220703125,1923.53515625,2084.451171875,2124.74609375,2089.455078125,2171.1708984375,2244.0791015625,2266.3505859375,2330.7880859375,2302.5703125,2319.6796875,2449.9365234375,2369.091796875,2524.6572265625,2510.8974609375,2575.1884765625,2501.0283203125,2624.1328125,2503.3818359375,2645.5654296875,2607.2255859375,2657.65625,2616.9775390625,2666.64453125,2678.2236328125,2705.8330078125,2729.66015625,2795.763671875,2709.912109375,2827.701171875,2792.22265625,2801.4755859375,2758.8603515625,2848.2880859375,2817.2021484375,2963.4931640625,2937.4423828125,2963.6611328125,2888.0224609375,3004.6005859375,2962.8759765625,2953.9287109375,3083.0908203125,3093.0478515625,3107.46875,3202.5439453125,3276.15625,3164.0087890625,3290.6875,3235.4560546875,3315.1015625,3306.6181640625,3495.8740234375,3439.21484375,3504.96484375,3648.5166015625,3689.162109375,3616.208984375,3778.80859375,3783.099609375,3775.2939453125,3844.544921875,4032.9775390625,3981.064453125,4083.3193359375,4138.384765625,4374.7177734375,4357.1044921875,4380.4130859375,4563.3251953125,4544.9765625,4710.44921875,4765.7099609375,5016.0849609375,4982.4228515625,5108.2177734375,5196.126953125,5415.796875,5380.9921875,5641.2314453125
10,1143.794921875,1116.1171875,1201.298828125,1152.306640625,1064.3203125,1188.4951171875,1215.3134765625,1132.3125,1162.5703125,1314.0380859375,1299.927734375,1372.8623046875,1456.5458984375,1467.0859375,1438.4912109375,1628.4970703125,1642.533203125,1659.2841796875,1653.4501953125,1892.078125,1787.8125,1986.5302734375,2024.1533203125,2144.248046875,2151.8076171875,2201.6044921875,2167.4951171875,2188.0634765625,2366.6181640625,2345.5205078125,2393.9423828125,2346.2734375,2520.693359375,2462.61328125,2478.158203125,2587.478515625,2516.0244140625,2609.57421875,2628.1015625,2511.587890625,2637.443359375,2614.5546875,2706.9833984375,2680.505859375,2746.3837890625,2734.47265625,2750.314453125,2676.3837890625,2807.076171875,2769.5673828125,2746.0859375,2860.2353515625,2780.9462890625,2874.2978515625,2893.7353515625,2840.453125,2871.4248046875,2898.822265625,2992.0283203125,2984.546875,3067.095703125,2968.826171875,2996.4267578125,3110.802734375,3168.3125,3104.1689453125,3225.2041015625,3216.2724609375,3310.56640625,3281.13671875,3349.0478515625,3341.1669921875,3437.40234375,3542.4140625,3455.2919921875,3552.15234375,3681.5673828125,3747.2783203125,3797.4697265625,3828.2158203125,3876.3017578125,3867.765625,4038.05859375,4111.78515625,4083.423828125,4239.98046875,4311.7421875,4321.6474609375,4389.1376953125,4590.361328125,4616.44921875,4732.0322265625,4802.431640625,4860.337890625,5044.6396484375,5078.5732421875,5293.607421875,5265.8701171875,5505.0771484375,5502.78125
20,1152.7275390625,1041.5625,1174.55859375,1080.1845703125,1187.302734375,1121.0986328125,1155.8056640625,1159.7255859375,1293.4384765625,1235.994140625,1221.06640625,1402.08203125,1418.2529296875,1499.8564453125,1558.7919921875,1563.455078125,1631.888671875,1596.9326171875,1783.591796875,1747.7177734375,1804.5458984375,2024.1533203125,1962.6826171875,2024.4287109375,2186.787109375,2170.0087890625,2304.056640625,2343.8544921875,2264.640625,2317.345703125,2335.310546875,2483.1123046875,2477.0224609375,2403.01953125,2524.287109375,2534.74609375,2569.185546875,2586.626953125,2512.845703125,2624.48828125,2662.4365234375,2568.30859375,2599.302734375,2596.435546875,2695.267578125,2726.1943359375,2689.2294921875,2784.091796875,2763.279296875,2695.8076171875,2724.705078125,2823.900390625,2918.4013671875,2912.44140625,2917.7802734375,2863.443359375,2859.6708984375,2994.8330078125,2906.3310546875,2955.8017578125,3036.384765625,2954.4599609375,3019.8330078125,3147.5419921875,3093.5703125,3104.8837890625,3222.35546875,3243.4853515625,3231.14453125,3336.6708984375,3282.5751953125,3470.705078125,3467.0029296875,3407.29296875,3595.9677734375,3523.3583984375,3677.0205078125,3709.8837890625,3672.40625,3729.9619140625,3820.216796875,3954.4453125,4006.9775390625,4015.7265625,4097.2783203125,4214.431640625,4372.619140625,4457.0244140625,4520.98046875,4586.6181640625,4631.08203125,4702.759765625,4837.6572265625,4909.7978515625,5077.908203125,5118.7216796875,5302.8076171875,5363.783203125,5406.2255859375,5571.55078125
30,1029.6884765625,1171.9365234375,1178.3388671875,1173.990234375,1193.4208984375,1236.0615234375,1142.109375,1199.755859375,1268.91796875,1333.689453125,1289.3662109375,1289.109375,1375.5556640625,1393.716796875,1558.8955078125,1483.546875,1628.1650390625,1633.9970703125,1689.3779296875,1806.712890625,1907.3125,1897.453125,2091.8125,2041.724609375,2059.130859375,2122.5146484375,2347.419921875,2211.216796875,2281.0849609375,2302.9365234375,2325.5859375,2503.6630859375,2462.896484375,2399.099609375,2473.142578125,2571.9873046875,2642.2626953125,2538.9326171875,2674.82421875,2546.654296875,2548.33203125,2694.4716796875,2617.7802734375,2707.6875,2617.25390625,2638.7626953125,2632.6640625,2800.775390625,2677.6201171875,2812.888671875,2810.1201171875,2784.8955078125,2818.50390625,2927.2353515625,2839.00390625,2883.4765625,3002.103515625,2964.244140625,2890.841796875,2989.3603515625,2969.6953125,3100.8828125,3027.1728515625,3068.8818359375,3203.15234375,3233.638671875,3201.17578125,3318.7890625,3217.884765625,3266.212890625,3411.6787109375,3467.0810546875,3441.6884765625,3543.0732421875,3449.21875,3617.0849609375,3590.236328125,3678.1025390625,3747.8935546875,3780.814453125,3928.5537109375,3974.9287109375,3952.236328125,4058.3115234375,4210.0458984375,4266.462890625,4289.6259765625,4381.275390625,4380.2529296875,4586.880859375,4634.09375,4662.54296875,4856.7841796875,4988.896484375,5010.986328125,5096.8212890625,5277.078125,5259.9033203125,5498.5556640625,5613.123046875
40,1044.7763671875,1158.2607421875,1194.2021484375,1224.501953125,1207.302734375,1108.7021484375,1199.4375,1203.3828125,1293.03125,1196.7412109375,1379.34375,1368.9072265625,1339.15625,1467.4228515625,1599.126953125,1571.1376953125,1717.203125,1653.6376953125,1702.3896484375,1892.4765625,1829.6416015625,2017.6416015625,2143.0361328125,2076.9462890625,2128.1484375,2223.4521484375,2319.70703125,2239.369140625,2399.4765625,2460.0625,2361.8125,2542.6904296875,2464.0537109375,2457.53125,2611.0166015625,2634.3984375,2555.732421875,2568.5361328125,2700.1328125,2634.9755859375,2597.2841796875,2741.6337890625,2649.4677734375,2668.34765625,2683.65625,2724.845703125,2824.779296875,2722.8359375,2729.7197265625,2864.79296875,2754.6357421875,2876.5048828125,2953.2880859375,2917.1669921875,2973.0693359375,2865.95703125,2927.0830078125,2907.1455078125,3048.869140625,3064.408203125,3093.845703125,3033.0986328125,3175.44140625,3099.4287109375,3202.482421875,3215.33984375,3305.6826171875,3246.37109375,3345.3369140625,3409.076171875,3305.0537109375,3495.3037109375,3501.1259765625,3494.841796875,3526.30859375,3609.017578125,3615.626953125,3711.5029296875,3789.0576171875,3751.0810546875,3939.38671875,4008.333984375,4040.6142578125,4040.4970703125,4268.4765625,4196.958984375,4324.2802734375,4458.193359375,4421.8525390625,4604.9033203125,4606.791015625,4786.919921875,4795.4091796875,5002.6279296875,4995.9697265625,5105.841796875,5274.8955078125,5323.5283203125,5478.0029296875,5620.2021484375
50,1158.8544921875,1091.0693359375,1210.0966796875,1123.7041015625,1149.150390625,1271.4736328125,1236.2978515625,1303.837890625,1322.7216796875,1240.7783203125,1346.71484375,1327.9404296875,1383.3837890625,1426.267578125,1540.251953125,1706.5771484375,1700.24609375,1783.3388671875,1902.2939453125,1825.9326171875,2029.4228515625,2135.55859375,2112.2177734375,2117.5966796875,2313.0654296875,2353.2265625,2406.232421875,2322.5263671875,2346.8447265625,2528.5634765625,2567.9521484375,2445.810546875,2619.7099609375,2495.0361328125,2580.140625,2707.18359375,2598.1796875,2654.869140625,2638.23046875,2741.2607421875,2648.529296875,2765.486328125,2687.669921875,2724.345703125,2823.0458984375,2856.703125,2774.4814453125,2924.470703125,2843.3720703125,2837.412109375,2858.6552734375,2913.8388671875,2891.9248046875,2882.7294921875,3064.7900390625,2940.3701171875,2959.3828125,3116.2724609375,3027.439453125,3065.1806640625,3213.3984375,3198.958984375,3122.0810546875,3257.783203125,3181.8603515625,3265.5009765625,3264.1865234375,3261.1455078125,3482.3994140625,3447.6533203125,3408.62890625,3522.990234375,3463.1083984375,3549.7099609375,3674.7294921875,3634.2099609375,3660.6376953125,3744.8994140625,3889.47265625,3934.6337890625,4025.884765625,4053.392578125,4053.0537109375,4171.6279296875,4247.94140625,4291.404296875,4371.3046875,4401.5439453125,4615.12890625,4563.8623046875,4787.4091796875,4754.26953125,4816.3955078125,5060.8837890625,5154.1162109375,5174.4541015625,5326.873046875,5494.5703125,5489.8095703125,5612.4677734375
60,1118.4609375,1217.3720703125,1228.4248046875,1234.552734375,1272.3955078125,1271.7724609375,1301.6904296875,1269.71484375,1365.4306640625,1363.9130859375,1348.1611328125,1365.9765625,1445.671875,1505.5087890625,1652.1337890625,1697.9658203125,1780.9755859375,1805.12109375,1909.9423828125,2016.390625,2002.5205078125,2076.5634765625,2251.587890625,2268.5419921875,2258.8955078125,2439.2216796875,2421.1171875,2395.3447265625,2457.869140625,2620.818359375,2515.259765625,2579.369140625,2711.7568359375,2658.3671875,2757.576171875,2768.046875,2699.5419921875,2712.169921875,2852.7822265625,2751.76953125,2861.0595703125,2818.8095703125,2866.2109375,2799.0869140625,2881.9638671875,2824.8671875,2891.49609375,3007.330078125,2919.4404296875,3007.1875,3079.9345703125,2935.8466796875,3081.2021484375,2989.837890625,2993.7978515625,3134.8173828125,3199.068359375,3165.5380859375,3121.466796875,3109.03515625,3268.3310546875,3163.314453125,3286.974609375,3359.5107421875,3278.5927734375,3451.7548828125,3494.775390625,3421.3681640625,3436.5478515625,3443.142578125,3455.98046875,3657.8544921875,3669.685546875,3604.462890625,3814.4921875,3779.88671875,3834.9375,3926.85546875,3851.70703125,4048.068359375,3940.943359375,4151.314453125,4179.2119140625,4231.9794921875,4384.7568359375,4471.77734375,4391.625,4533.4169921875,4541.181640625,4731.482421875,4706.150390625,4956.7412109375,4923.412109375,5004.203125,5115.7607421875,5333.6669921875,5452.875,5466.1875,5530.244140625,5766.7529296875
70,1186.8994140625,1280.9541015625,1160.1806640625,1278.4169921875,1284.0244140625,1308.9326171875,1287.490234375,1360.6181640625,1322.7265625,1469.4091796875,1410.8603515625,1457.0908203125,1518.2255859375,1656.3037109375,1650.95703125,1769.322265625,1879.8046875,1858.9033203125,2032.474609375,2056.423828125,2082.0087890625,2198.7353515625,2348.552734375,2387.62890625,2484.73046875,2441.0224609375,2538.7890625,2607.2880859375,2609.9736328125,2633.4697265625,2671.6220703125,2733.7861328125,2753.2373046875,2822.0625,2832.84375,2894.3271484375,2904.830078125,2925.0458984375,2943.50390625,2961.4091796875,2925.4443359375,2933.2431640625,3031.044921875,3035.861328125,3007.419921875,3074.626953125,3045.978515625,3051.109375,3155.810546875,3123.3701171875,3093.3291015625,3158.40234375,3203.8896484375,3157.1357421875,3206.2294921875,3273.3017578125,3227.3203125,3290.068359375,3334.37109375,3318.95703125,3311.0078125,3403.416015625,3380.5595703125,3419.2626953125,3487.314453125,3472.5498046875,3581.6591796875,3571.384765625,3573.7236328125,3652.9423828125,3713.220703125,3727.6953125,3737.4833984375,3769.658203125,3831.4072265625,3906.43359375,3935.251953125,3991.8544921875,4026.5654296875,4109.759765625,4175.14453125,4182.52734375,4274.8896484375,4373.0078125,4453.37890625,4480.2529296875,4580.060546875,4618.400390625,4761.416015625,4841.2421875,4882.361328125,5025.3369140625,5120.958984375,5205.9130859375,5248.9853515625,5418.357421875,5464.611328125,5524.7861328125,5712.59375,5748.498046875
80,1240.0078125,1285.529296875,1273.0751953125,1332.197265625,1280.4580078125,1336.3779296875,1411.802734375,1380.8525390625,1435.623046875,1514.0888671875,1507.0791015625,1578.876953125,1675.458984375,1704.8828125,1767.421875,1876.44921875,1939.447265625,1996.6796875,2135.87109375,2182.8603515625,2252.126953125,2440.267578125,2448.78515625,2533.7255859375,2570.7666015625,2645.00390625,2760.978515625,2768.642578125,2790.283203125,2862.421875,2834.466796875,2930.2119140625,2936.4443359375,2949.751953125,3053.03125,2992.4814453125,3058.1455078125,3029.94921875,3056.2109375,3098.7197265625,3164.02734375,3202.5263671875,3146.984375,3244.9755859375,3268.8291015625,3204.23046875,3221.333984375,3275.0498046875,3243.5712890625,3297.720703125,3340.26171875,3290.5341796875,3331.50390625,3437.625,3337.8388671875,3474.8115234375,3446.24609375,3413.6259765625,3554.5244140625,3591.6611328125,3480.943359375,3599.0546875,3661.642578125,3557.478515625,3608.3681640625,3680.21875,3676.3828125,3854.5654296875,3819.3701171875,3805.875,3823.4814453125,3901.244140625,3901.814453125,3898.982421875,3965.5361328125,4160.6650390625,4149.51953125,4266.1064453125,4196.634765625,4230.23828125,4412.1640625,4335.3837890625,4390.912109375,4534.7509765625,4518.3388671875,4754.640625,4691.2255859375,4903.435546875,4922.0615234375,5003.76953125,5168.6572265625,5094.8583984375,5270.009765625,5460.517578125,5321.7353515625,5560.763671875,5563.962890625,5868.0126953125,5797.1552734375,6007.2548828125
90,1403.40625,1448.50390625,1407.7607421875,1394.171875,1271.279296875,1391.9228515625,1540.4130859375,1443.5166015625,1395.271484375,1585.5166015625,1669.1162109375,1623.54296875,1865.427734375,1854.7607421875,1768.705078125,1939.3486328125,2106.2255859375,2219.3818359375,2303.826171875,2433.34765625,2364.935546875,2597.966796875,2721.150390625,2759.8818359375,2623.779296875,2776.201171875,3033.8154296875,2942.9931640625,2897.2294921875,2912.4130859375,3060.3115234375,2983.3056640625,3112.1552734375,3061.1142578125,3062.5869140625,3234.2333984375,3343.3447265625,3159.0146484375,3343.4892578125,3206.90625,3250.8095703125,3353.28515625,3320.62890625,3291.2197265625,3504.24609375,3386.2529296875,3424.6953125,3521.9169921875,3493.5078125,3569.3154296875,3589.818359375,3574.5322265625,3593.5390625,3609.8125,3565.7392578125,3532.884765625,3630.8310546875,3705.248046875,3676.533203125,3750.15234375,3812.9404296875,3733.8876953125,3744.49609375,3846.88671875,3809.21484375,3855.7333984375,3959.517578125,3921.4609375,3961.0078125,4028.84765625,4025.2822265625,4085.55078125,4170.783203125,4184.1279296875,4209.8037109375,4277.15625,4334.4111328125,4352.0869140625,4438.5986328125,4474.91015625,4531.8798828125,4611.4814453125,4637.5263671875,4668.4111328125,4797.623046875,4892.294921875,4927.5146484375,5000.443359375,5096.1220703125,5159.8154296875,5278.546875,5314.845703125,5419.572265625,5505.078125,5616.4404296875,5711.6123046875,5849.9091796875,5923.9765625,6007.236328125,6172.451171875
